分類,項目,内容,参照,実装ブランチ,備考
対応済み,Browse 下端ステータス行が画面の言い直しになっている,実機指摘(2026-08-03): (1)『[local] this machine』は左下の既存ステータスバーと同じ文言で二重。設計ではホストはパネルのタイトルが名乗るはずで、放置すると三重になる (2)『close browse』はパネルの✖と同じことをする動詞で唐突。原則: 下端行は他のどこも言っていないことだけを言う → 残るのは件数(items/selected/frames)・進捗・エラー・プロトコル警告・Watch稼働。ホストはタイトル、閉じるは✖、切断はクラム右クリック。disconnectを下端に残すかも問い直す,"docs/browse-topbar-design.md §10.3, main.cpp Browse status line",PR #4 (from-jules-ui-improvement) @ e1c5130,main 済。要求3点すべて満たした: ホスト表示の削除、close 動詞の削除、disconnect を下端に残すかの問い直し(残さない)。マージ前に2点を修正: 削除が残した未使用宣言(-Wall -Wextra で警告)と、テキストと一緒に消された検査 — ホストを含まないことを assert する形で残し、ホストをわざと戻して browse-keys が落ちることで較正した。ローカルの Browse は『ホスト名が無い = この機械』と読ませる形になり、そこだけ実機未確認
対応済み,update.cmd/update.sh が起動中のviewerを検知しない,viewerが起動したまま更新すると git が DLL を置換できず『Unlink of file win64/plugins/analyzer_esfr.dll failed. Should I try again? (y/n)』という素のプロンプトに落ちる。nを選ぶと新しいexeと古いプラグインが混在する。更新前に実行中プロセスを検知し『viewerを閉じてから再実行してください』と言うべき。→ 置換対象ファイル（git diff --name-only <ref>）への書き込みプローブで事前検知する。Windows は reset を行わずに中止しロックされているファイル名を列挙、POSIX は置換自体は成功するので更新後に「起動中のプロセスは旧ビルドのまま」と警告する,binaries ブランチ update.cmd / update.sh,throttle-and-update,実機で遭遇 2026-08-03  /  【2026-08-04 指示】優先度低  /  【対応 2026-08-05】プロセス名一致（tasklist / pgrep）は使わない —— try\ のビルドや別チェックアウトの viewer にも反応し、逆に保持者が viewer でない場合は黙る。実機確認: 実行中の viewer.exe とロード済みplugins\analyzer_esfr.dll が LOCKED、未起動の viewer-serve.exe は FREE。reset --hard の半途失敗（unable to unlink old ...: Invalid argument）と修正後の中止・成功両経路をダミーリポジトリで再現済み
レビュー必要項目,リーダの運搬: 枠付きストリーム【実装完了・Fableレビュー希望】,実測(plugin-python-study §2.2/2.3、48MB): npz往復 69.4ms(1.45ms/MB) / 生ファイル往復 37.3ms / numpyの48MBコピー 7.9ms(0.165ms/MB) / 共有メモリでホストが48MB書く 2.47ms(0.051ms/MB) / フレームが既にそこにある 0.04ms。つまり運搬が変換の約9倍で、支配しているのは運搬。755MBなら npz往復 約1.1秒 が 約40ms になる。さらに viewer が先に float32 の区画を確保して Python にそこへ直接書かせれば、リーダが float32 を返す限り端から端までコピー0にできる。順序(ユーザー指摘で訂正): プラグインは『viewer が既に持つ画素を見せる』、リーダは『Python が作った画素を viewer に materialise する』で方向が逆。用途は独立なのでリーダ側を先に作ってよく、共通なのは常駐ワーカと共有メモリ区画の管理だけ。取り下げた案: npz を mmap で読む — 画素は必ず float32 に変換されるので生バイトのコピー1回しか減らず、Windows でマップ中のファイルが削除できなくなる実害が付く。未解決の反論(調査自身が挙げている): ハングの始末機構が無い / 落ちたときの共有メモリの後片付け ///// 実装状況(2026-08-03): (1) ハーネスの --stream 済み dbd6b2f — 行ベースのヘッダ+生の画素塊。npz は中央ディレクトリが末尾にあるため流せない(全体を持つ必要があり、それが除きたいバッファそのもの)。ヘッダはセッション形式の規則を借用(1行1キー・値は行の残り・未知キーは読み飛ばし)。リーダの print() は標準出力を占有するため実行中だけ標準エラーへ向け直す。検証: 2回printするリーダを両経路で走らせ、printが払い出しに混ざらないこと・画素がnpz経路と一致することを確認。(2) adapter::run に captureStdout=false 済み d0c6725 — 755MBのstd::stringを作らないため。(3) 未: viewer 側の読み手。継ぎ目は decodeNpyBuffer が npyPeekHeader の後は生ポインタと形だけで動く点で、そこで切れば npz 経路と流れ経路が同じ変換を共有できる。ただし復号経路への手術なので慎重に。 ///// 段階(755MB): 現状npz 約1.1秒 / 枠付きをファイル 約0.6秒 / パイプ 約0.23秒 / 共有メモリ 約0.04秒。形式は決まったので以降は運び屋の差し替えのみ、リーダを書く人の契約は不変。 ///// Fable に見てほしい点: 枠付き形式そのものの妥当性 / 段階の切り方 / パイプ化のときに読みながら消費しないと詰まる件 / 共有メモリまで行く価値があるか,"docs/python-plugins.md §2.2-2.3, docs/input-adapters.md",https://github.com/klimemam/viewer/issues/44,実装完了 dbd6b2f/d0c6725/afc1977/518128f。151MB往復 0.421→0.268秒(1.57倍)、Python起動を除くと約2.3倍。npz は経路から消え、キャッシュは .vstream。22/22 + V25の22件が新経路を通過。Fable レビュー希望(ユーザー、2026-08-03)。キャッシュは別層として残す(再起動をまたぐ用)。プラグインのレビューと同時でなくてよい  /  【2026-08-04 指示】対応済? Fable とのレビュー待ち  /  【検証 2026-08-04】実装は完了・main 済。ただしセル内に誤りが2つある: 正しいハッシュは dbd6b2f(dbf6dd2 は存在しない)、『(3) 未: viewer 側の読み手』は 518128f で解消済みの陳腐化。残るのはレビューのみ。しかも 518128f 自身の実測が段階表を1つ否定している —— stdout をパイプで捕まえると 0.441s、ファイル経由 0.296s で逆転する(Windows では素のパイプがファイルより遅い)ので『パイプ 約0.23秒』は根拠を失っており、この段は測り直して自分で稼ぐ必要がある。共有メモリは未実装(CreateFileMapping/shm_open は0件)なので、未解決の反論2件はまだ存在しない段の話。レビューの前提が不足: 枠付き形式の仕様は core/main.cpp:4689-4726 のコメントと run_adapter.py:379-439 にしか無く、docs/input-adapters.md §4.11 は今も npz を運び屋として記述、参照先の docs/python-plugins.md は main に無い(branch plugin-python-study のみ)
対応済み,Browse を起動時から開く(前回の場所、初回はホーム)【判断済み・未実装】,判断(2026-08-03、ユーザー): (a) 起動時から Browse パネルが見えている。初回起動でホームか前回の場所を映し、以後は layout.ini が覚えるので閉じれば閉じたまま。(c) 『前回の場所』は最後に Browse が見ていたフォルダ(セッションに rbplace として既に保存されている値)。現状の障害: app.showRemote の既定が false(main.cpp:973)で、Browse を出す唯一の経路 browseFolderDialog() は OS のフォルダ選択ダイアログを開く(main.cpp:10753)。つまり OS ダイアログを置き換えるための道具に、OS ダイアログを通らないと辿り着けない。rbplace はセッション経由なので初回起動には効かない。要検討: Browse を出すとローカル peer を起動時に立てることになる,main.cpp:973 showRemote / main.cpp:10753 browseFolderDialog,,5d7a120。初回はホーム、以降は prefs の rbrecent(最後に Browse が listing した場所)。自動保存は起動時に読まれないので rbplace は使えないと判明し、prefs 側を使った
対応済み,Cmd/Ctrl+O を『選択しているものを開く』に割り当て直す,ユーザー指摘(2026-08-03): 『Ctrl+O は Mac 的には違う意味。File Browse での Enter とかダブルクリックに近い動作を期待してしまう』。いまは両方(素の O と Cmd/Ctrl+O)を解除しただけで、何にも割り当てていない。Finder の作法に合わせるなら Browse の選択行を確定する動作に当てる。Browse にフォーカスが無いときに何をするかも決める必要がある,main.cpp のショートカット表 / docs/manual.md §11,,3d256c0。Browse では Enter と同一経路、Browse 外では Browse を前に出す。SC_MOD と MODK を1箇所にまとめた
対応済み,Reader パネルの見た目が誰にも確認されていない,"配線エージェントの自己申告: 『パネルを目で見ていない。85フレーム以上描画して exit 0、ボタンの裏の関数は全部 assert 済みだが、レイアウト・折り返し・ボタン間隔は未検証』。スクリーンショットを3回試みたがユーザーの実デスクトップの別ウィンドウを撮ってしまうため本人が中止した(妥当な判断)。特に疑わしい箇所: 失敗理由を出す枠が BeginChild(..., ImVec2(0,0), ...) = 残り高さ全部なので、パネルが縦に短いと枠が潰れて何も見えない可能性がある",main.cpp drawReaderPanel,,実機確認のみ。ユーザーに見てもらうのが最短  /  【2026-08-04 指示】確認済み、Close
対応済み,viewer.exe が Windows に libwinpthread を名乗っていた(.rsrc VERSION 衝突),毎ビルド出ていた『.rsrc merge failure: duplicate leaf: type: 10 (VERSION)』は警告ではなく実害の徴候だった。--whole-archive が libwinpthread.a の全オブジェクトを取り込み、その version.o が libwinpthread-1.dll の VERSIONINFO を持っていた。同じ id と言語の版資源が衝突し、リンカが残したのは我々の方ではなかった。結果 viewer.exe はエクスプローラの詳細・タスクバーのツールチップ等で FileDescription『POSIX WinThreads for Windows』/ OriginalFilename 『libwinpthread-1.dll』/ CompanyName『MinGW-W64 Project』と名乗っていた(配布済み)。--whole-archive を外すと身元は直るが libwinpthread-1.dll への実行時依存が復活し、それはまさに --whole-archive が防いでいたもの。-static が両立させる,CMakeLists.txt:130 configure_file(core/viewer.rc.in) / ビルドログ,,両バイナリで検証: mingw ランタイム DLL の import 0、版ブロックは viewer 自身のもの。警告は黙らせたのではなく衝突が消えた
レビュー必要項目,Python プラグインの検討(常駐ワーカ+共有メモリを推奨),実測: 常駐ワーカ+共有メモリで1呼び出し0.04ms(最も安いCアナライザより速い)。毎回起動は120-190ms、torch は import だけで1.2-1.4秒なので常駐必須。numpyはC同等(noise: C 23.3ms vs py 29.7ms でCが勝つ)。入力アダプタの機構を丸ごと再利用し、運び屋だけ npz→共有メモリ に差し替える案,,branch plugin-python-study @ 2b39edd / https://github.com/klimemam/viewer/issues/45,反論2点: peerの配備問題は実測不能(パリティが『2つのnumpyが最終ULPまで一致』に劣化) / ハングの始末機構が無い  /  【2026-08-04 指示】継続課題。Fable 案件にする
対応済み,analyzer_stats の percentile が 12M 要素を qsort している,3つのパーセンタイルのために全体をソート。numpyはpartitionで済ませており、これが『Pythonの方が6.5-9倍速い』の正体(言語差ではなくアルゴリズム差)。nth_element相当に変えれば桁で縮む,plugins/analyzer_stats.c:101,,47a25b4 + 3d256c0。12M要素で 0.961秒→0.145秒(6.5倍)。選んだ直後に読む形へ硬化(範囲を狭める呼び方は分割方式に依存する脆さがあった)。全ソートとの522件比較で不一致0
対応済み,単位の規則が文書間で矛盾(適用範囲が別だった),矛盾ではなく適用範囲が違っただけ、と両方の文書に明記。emit_number は ABI に単位の欄を持たない(ps_plugin.h の psAnalyzeSink/psAnalyzeSink2)のでアナライザのキー名がその経路の唯一の宣言、meta には宣言する場所があるので使う。Python アナライザだけがその境界に落ちる。コードは unitForAnalysisKey のままで正しかった,"docs/analyzers.md, docs/input-adapters.md §4.3.1",branch docs-truth @ f3901db (main 済 8ec5431),行番号は 16594 から 18394 へ移動していた。後半(provenance)は別行に分離
